Crime_ID,Crime_Type,Location,Date,Time,Status,Victim_Age,Victim_Gender,Suspect_Age,Suspect_Gender,Year,Month
CR07571,Murder,Vasant Kunj,2021-05-23,17:40,Closed,54,Male,33,Other,2021,5
CR05020,Murder,Saket,2023-12-10,10:31,Unresolved,50,Female,33,Female,2023,12
CR03404,Murder,Vasant Kunj,2022-03-06,16:33,Closed,43,Male,26,Other,2022,3
CR08365,Assault,Chandni Chowk,2022-02-01,08:25,Resolved,68,Male,35,Female,2022,2
CR03145,Robbery,Lajpat Nagar,2022-01-15,17:50,Unresolved,56,Other,38,Female,2022,1
CR05504,Rape,Lajpat Nagar,2023-03-16,07:39,Under Investigation,51,Other,29,Male,2023,3
CR00033,Burglary,Karol Bagh,2023-05-22,08:09,Resolved,35,Other,62,Female,2023,5
CR09386,Assault,Vasant Kunj,2021-05-24,23:19,Under Investigation,32,Male,69,Female,2021,5
CR02595,Murder,Saket,2020-05-26,21:12,Unresolved,25,Female,53,Other,2020,5
CR02009,Domestic Violence,Lajpat Nagar,2020-07-07,18:59,Closed,58,Male,28,Female,2020,7
CR00101,Theft,Hauz Khas,2020-02-01,00:19,Closed,31,Female,30,Other,2020,2
CR08205,Cybercrime,Rohini,2023-05-04,05:22,Resolved,17,Female,44,Male,2023,5
CR01523,Burglary,Rohini,2021-11-16,07:55,Reported,56,Female,39,Female,2021,11
CR03941,Burglary,Saket,2020-09-15,18:01,Closed,23,Other,17,Female,2020,9
CR00510,Burglary,Dwarka,2020-11-09,15:04,Reported,58,Female,57,Other,2020,11
CR07850,Kidnapping,Punjabi Bagh,2023-01-19,03:34,Closed,29,Male,23,Other,2023,1
CR03063,Murder,Chandni Chowk,2020-12-15,03:31,Under Investigation,44,Male,68,Other,2020,12
CR02312,Kidnapping,Saket,2023-12-04,00:23,Resolved,44,Male,15,Male,2023,12
CR02145,Fraud,Connaught Place,2021-12-18,14:42,Resolved,63,Male,72,Male,2021,12
CR01454,Burglary,Punjabi Bagh,2023-08-28,23:29,Under Investigation,71,Male,48,Female,2023,8
CR06828,Theft,Rohini,2021-07-27,11:17,Unresolved,72,Female,70,Female,2021,7
CR08915,Kidnapping,Rohini,2021-12-12,10:27,Unresolved,41,Female,61,Male,2021,12
CR05338,Murder,Saket,2021-09-20,21:03,Resolved,49,Other,18,Other,2021,9
CR07211,Theft,Punjabi Bagh,2021-11-24,01:07,Resolved,59,Other,66,Female,2021,11
CR01766,Fraud,Saket,2023-03-01,21:25,Reported,73,Female,31,Other,2023,3
CR09083,Cybercrime,Punjabi Bagh,2021-11-21,23:52,Under Investigation,47,Female,38,Other,2021,11
CR00572,Robbery,Rohini,2020-12-15,13:34,Reported,35,Other,38,Male,2020,12
CR08902,Cybercrime,Saket,2023-08-04,05:09,Resolved,71,Male,30,Female,2023,8
CR02039,Murder,Punjabi Bagh,2021-10-18,23:57,Reported,61,Female,23,Female,2021,10
CR06378,Robbery,Saket,2021-04-30,09:07,Resolved,44,Other,50,Female,2021,4
CR01536,Assault,Punjabi Bagh,2023-11-21,01:53,Resolved,22,Female,36,Male,2023,11
CR07918,Assault,Chandni Chowk,2023-07-31,06:25,Reported,24,Male,21,Male,2023,7
CR09470,Theft,Chandni Chowk,2020-05-18,04:27,Closed,56,Other,42,Other,2020,5
CR07921,Kidnapping,Punjabi Bagh,2020-08-11,19:17,Closed,46,Female,71,Male,2020,8
CR03050,Robbery,Punjabi Bagh,2020-06-02,18:51,Under Investigation,70,Female,68,Female,2020,6
CR07200,Cybercrime,Chandni Chowk,2023-08-13,18:32,Closed,48,Male,49,Other,2023,8
CR05515,Murder,Hauz Khas,2020-04-01,02:33,Under Investigation,43,Male,17,Female,2020,4
CR02074,Robbery,Rohini,2020-05-19,04:48,Closed,47,Male,66,Other,2020,5
CR00107,Rape,Chandni Chowk,2023-10-29,15:34,Unresolved,48,Female,55,Male,2023,10
CR03526,Assault,Vasant Kunj,2020-12-10,16:35,Unresolved,24,Female,23,Female,2020,12
CR01862,Burglary,Saket,2021-05-22,23:11,Reported,36,Male,33,Female,2021,5
CR07316,Assault,Saket,2022-09-06,09:51,Unresolved,50,Other,53,Male,2022,9
CR01433,Assault,Punjabi Bagh,2023-09-21,06:24,Under Investigation,67,Male,35,Male,2023,9
CR01877,Theft,Chandni Chowk,2020-09-19,05:11,Reported,58,Male,36,Female,2020,9
CR08017,Fraud,Rohini,2023-12-01,02:14,Reported,35,Female,48,Male,2023,12
CR08172,Domestic Violence,Rohini,2022-12-06,00:09,Closed,61,Other,38,Male,2022,12
CR01110,Kidnapping,Rohini,2021-05-17,19:21,Unresolved,21,Male,71,Female,2021,5
CR03305,Theft,Chandni Chowk,2021-05-05,02:32,Closed,33,Other,39,Male,2021,5
CR00265,Robbery,Lajpat Nagar,2020-12-31,16:19,Resolved,57,Other,70,Male,2020,12
CR05858,Assault,Karol Bagh,2023-10-09,13:22,Resolved,69,Other,66,Male,2023,10
CR08963,Domestic Violence,Lajpat Nagar,2022-12-16,19:02,Unresolved,21,Other,73,Male,2022,12
CR08653,Murder,Karol Bagh,2020-09-01,05:57,Resolved,55,Male,64,Female,2020,9
CR04477,Fraud,Punjabi Bagh,2020-03-08,20:10,Closed,60,Other,64,Male,2020,3
CR08767,Robbery,Dwarka,2023-04-02,11:24,Resolved,20,Male,44,Other,2023,4
CR02232,Assault,Rohini,2020-12-30,22:24,Closed,16,Female,19,Other,2020,12
CR05601,Domestic Violence,Vasant Kunj,2022-06-23,01:16,Reported,35,Male,61,Other,2022,6
CR08790,Burglary,Connaught Place,2023-04-05,20:28,Reported,44,Male,24,Male,2023,4
CR00399,Rape,Chandni Chowk,2021-04-12,20:46,Resolved,68,Female,60,Female,2021,4
